AeroDyn airfoil file Created with QBlade v0.8 on 28.03.2015 at 15:16:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.210_M0.00_N9.0" on Foil "NACA 0020" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
5.95940        Cn slope for zero lift for linear Cn curve (1/rad)
1.0322         Cn at stall value for positive angle of attack for linear Cn curve
0.0520         Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0127         Minimum CD value
      0.50    0.0519    0.0127
      1.00    0.1038    0.0127
      1.50    0.1557    0.0129
      2.00    0.2076    0.0131
      2.50    0.2597    0.0134
      3.00    0.3121    0.0138
      3.50    0.3656    0.0142
      4.00    0.4215    0.0147
      4.50    0.4793    0.0153
      5.50    0.6175    0.0167
      6.00    0.6904    0.0173
      6.50    0.7584    0.0180
      7.00    0.8412    0.0188
      7.50    0.9140    0.0195
      8.00    0.9885    0.0203
      8.50    1.0406    0.0210
      9.00    1.0507    0.0216
      9.50    1.0516    0.0223
     10.00    1.0428    0.0229
     10.50    1.0361    0.0237
     11.00    1.0426    0.0248
     11.50    1.0535    0.0262
     12.00    1.0711    0.0280
     12.50    1.0878    0.0299
     13.00    1.1060    0.0323
     13.50    1.1206    0.0348
     14.00    1.1374    0.0376
     14.50    1.1491    0.0409
     15.00    1.1595    0.0444
     15.50    1.1708    0.0480
     16.00    1.1785    0.0524
     16.50    1.1763    0.0578
     17.00    1.1760    0.0633
     17.50    1.1809    0.0683
     18.00    1.1721    0.0753
     18.50    1.1439    0.0854
     19.00    1.0982    0.0987
     22.50    0.2354    0.0831
     23.00    0.2266    0.0857
     23.50    0.2404    0.0899
     24.00    0.2588    0.0942
     24.50    0.2856    0.1012
     25.00    0.2944    0.1085
     25.50    0.2924    0.1116
     26.00    0.3061    0.1167
     26.50    0.3220    0.1218
     27.00    0.3425    0.1286
     27.50    0.3608    0.1388
     28.00    0.3598    0.1419
     28.50    0.3663    0.1466
     29.00    0.3783    0.1522
     29.50    0.3920    0.1575
     30.00    0.4104    0.1651
     30.50    0.4250    0.1760
     31.00    0.4278    0.1807
     31.50    0.4318    0.1851
     32.00    0.4407    0.1910
     32.50    0.4506    0.1964
     33.00    0.4609    0.2018
     33.50    0.4733    0.2082
     35.50    1.0629    0.4240
     36.00    1.0693    0.4288
     36.50    1.0790    0.4365
     37.00    1.0887    0.4429
     37.50    1.0983    0.4489
     38.00    1.1076    0.4545
     38.50    1.1167    0.4601
     39.00    1.1261    0.4674
     39.50    1.1340    0.4803
     40.00    1.1395    0.4855
    180.00    0.0519    0.0127
